session_id,timestamp,symbol,price,bue,delta,signal,value_estimate,action,pnl,close_reason,equity
20250608_002833,2025-06-08 00:28:33,BTC,105645.0,105645.0,0.0,HOLD,20.0,SCAN,0,N/A,1000.0
20250608_002833,2025-06-08 00:28:34,ETH,2521.66,2521.66,0.0,HOLD,20.0,SCAN,0,N/A,1000.0
20250608_002833,2025-06-08 00:28:34,USDT,1.0,1.0,0.0,HOLD,20.0,SCAN,0,N/A,1000.0
20250608_002833,2025-06-08 00:28:34,XRP,2.18,2.18,0.0,HOLD,20.0,SCAN,0,N/A,1000.0
20250608_002833,2025-06-08 00:28:34,BNB,650.95,650.95,0.0,HOLD,20.0,SCAN,0,N/A,1000.0
20250608_002833,2025-06-08 00:28:34,SOL,151.33,151.33,0.0,HOLD,20.0,SCAN,0,N/A,1000.0
20250608_002833,2025-06-08 00:28:34,USDC,0.99978,0.99978,0.0,HOLD,20.0,SCAN,0,N/A,1000.0
20250608_002833,2025-06-08 00:28:34,DOGE,0.186455,0.186455,0.0,HOLD,20.0,SCAN,0,N/A,1000.0
20250608_002833,2025-06-08 00:28:34,TRX,0.280841,0.280841,0.0,HOLD,20.0,SCAN,0,N/A,1000.0
20250608_002833,2025-06-08 00:28:34,ADA,0.665704,0.665704,0.0,HOLD,20.0,SCAN,0,N/A,1000.0
20250608_002833,2025-06-08 00:28:34,STETH,2521.61,2521.61,0.0,HOLD,20.0,SCAN,0,N/A,1000.0
20250608_002833,2025-06-08 00:28:34,WBTC,105429.0,105429.0,0.0,HOLD,20.0,SCAN,0,N/A,1000.0
20250608_002833,2025-06-08 00:28:34,HYPE,34.77,34.77,0.0,HOLD,20.0,SCAN,0,N/A,1000.0
20250608_002833,2025-06-08 00:28:34,SUI,3.25,3.25,0.0,HOLD,20.0,SCAN,0,N/A,1000.0
20250608_002833,2025-06-08 00:28:34,WSTETH,3036.09,3036.09,0.0,HOLD,20.0,SCAN,0,N/A,1000.0
20250608_002833,2025-06-08 00:28:34,LINK,13.93,13.93,0.0,HOLD,20.0,SCAN,0,N/A,1000.0
20250608_002833,2025-06-08 00:28:34,AVAX,20.92,20.92,0.0,HOLD,20.0,SCAN,0,N/A,1000.0
20250608_002833,2025-06-08 00:28:34,LEO,9.18,9.18,0.0,HOLD,20.0,SCAN,0,N/A,1000.0
20250608_002833,2025-06-08 00:28:34,XLM,0.267331,0.267331,0.0,HOLD,20.0,SCAN,0,N/A,1000.0
20250608_002833,2025-06-08 00:28:35,BCH,410.59,410.59,0.0,HOLD,20.0,SCAN,0,N/A,1000.0
20250608_002833,2025-06-08 00:28:35,TON,3.19,3.19,0.0,HOLD,20.0,SCAN,0,N/A,1000.0
20250608_002833,2025-06-08 00:28:35,SHIB,1.279e-05,1.279e-05,0.0,HOLD,20.0,SCAN,0,N/A,1000.0
